Esperança de vida ao nascer  (Atlas 2013 - PNADC)
Sigla,Código,Estado,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
AC,12,Acre,72.47,72.84,73.21,73.56,73.89,74.2,74.51,74.78,74.47,72.26,
AL,27,Alagoas,69.96,70.37,70.77,71.16,71.54,71.9,72.25,72.6,72.15,69.87,
AM,13,Amazonas,70.85,71.11,71.36,71.61,71.85,72.08,72.31,72.53,71.99,69.61,
AP,16,Amapá,72.77,73.07,73.37,73.65,73.92,74.18,74.42,74.66,73.91,71.7,
BA,29,Bahia,72.39,72.66,72.91,73.16,73.4,73.64,73.87,74.09,73.66,71.34,
CE,23,Ceará,72.78,73.03,73.26,73.49,73.72,73.94,74.15,74.37,74.29,72.02,
DF,53,Distrito Federal,76.87,77.17,77.47,77.75,78.02,78.27,78.52,78.76,75.17,73.16,
ES,32,Espírito Santo,76.78,77.17,77.54,77.89,78.22,78.53,78.83,79.12,78.68,76.86,
GO,52,Goiás,73.41,73.58,73.75,73.92,74.09,74.26,74.42,74.59,70.76,68.28,
MA,21,Maranhão,69.34,69.65,69.96,70.25,70.54,70.83,71.11,71.39,70.45,67.9,
MG,31,Minas Gerais,76.12,76.4,76.69,76.96,77.23,77.49,77.73,77.97,77.7,75.75,
MS,50,Mato Grosso do Sul,74.35,74.65,74.94,75.22,75.49,75.74,76,76.24,72.34,70.03,
MT,51,Mato Grosso,73.16,73.43,73.69,73.95,74.2,74.44,74.68,74.91,71.16,68.77,
PA,15,Pará,71.23,71.44,71.64,71.84,72.03,72.22,72.41,72.59,72.02,69.62,
PB,25,Paraíba,71.8,72.15,72.48,72.79,73.09,73.39,73.69,73.96,73.93,71.72,
PE,26,Pernambuco,72.03,72.5,72.94,73.37,73.78,74.16,74.53,74.88,74.88,72.83,
PI,22,Piauí,70.19,70.38,70.57,70.76,70.94,71.12,71.3,71.47,71.06,68.57,
PR,41,Paraná,75.76,76.09,76.4,76.72,77.02,77.32,77.61,77.89,74.2,72.11,
RJ,33,Rio de Janeiro,74.9,75.23,75.56,75.88,76.18,76.47,76.76,77.04,73.24,71.12,
RN,24,Rio Grande do Norte,74.59,74.86,75.13,75.38,75.62,75.87,76.08,76.29,76.28,74.16,
RO,11,Rondônia,70.5,70.71,70.91,71.11,71.3,71.5,71.69,71.88,71.2,68.86,
RR,14,Roraima,70.1,70.44,70.77,71.1,71.41,71.71,72.01,72.29,72,69.71,
RS,43,Rio Grande do Sul,76.62,76.91,77.21,77.49,77.77,78.04,78.3,78.55,74.88,72.84,
SC,42,Santa Catarina,77.7,78.07,78.42,78.76,79.09,79.4,79.7,79.98,76.47,74.6,
SE,28,Sergipe,71.47,71.76,72.03,72.3,72.55,72.8,73.05,73.29,73.18,70.85,
SP,35,São Paulo,76.8,77.15,77.47,77.78,78.07,78.35,78.63,78.87,75.63,73.61,
TO,17,Tocantins,72.11,72.42,72.71,73.01,73.29,73.56,73.81,74.05,74.02,71.74,
