IDHM Ajustado à Desigualdade  (Atlas 2013 - PNADC)
Sigla,Código,Estado,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
AC,12,Acre,0.502,0.511,0.52,0.523,0.526,0.515,0.531,0.533,0.564,0.521,
AL,27,Alagoas,0.475,0.471,0.481,0.483,0.491,0.494,0.49,0.5,0.517,0.505,
AM,13,Amazonas,0.512,0.53,0.531,0.535,0.529,0.54,0.547,0.549,0.56,0.532,
AP,16,Amapá,0.542,0.563,0.557,0.546,0.548,0.547,0.551,0.567,0.559,0.523,
BA,29,Bahia,0.49,0.498,0.519,0.522,0.522,0.517,0.518,0.529,0.549,0.507,
CE,23,Ceará,0.508,0.516,0.529,0.528,0.533,0.541,0.55,0.553,0.571,0.543,
DF,53,Distrito Federal,0.641,0.654,0.657,0.662,0.665,0.654,0.661,0.691,0.661,0.637,
ES,32,Espírito Santo,0.603,0.609,0.617,0.62,0.618,0.62,0.635,0.634,0.641,0.611,
GO,52,Goiás,0.595,0.607,0.61,0.613,0.612,0.613,0.62,0.624,0.617,0.591,
MA,21,Maranhão,0.469,0.486,0.495,0.493,0.497,0.5,0.496,0.504,0.53,0.493,
MG,31,Minas Gerais,0.594,0.606,0.619,0.627,0.625,0.632,0.634,0.644,0.65,0.625,
MS,50,Mato Grosso do Sul,0.588,0.599,0.6,0.597,0.615,0.614,0.616,0.63,0.614,0.595,
MT,51,Mato Grosso,0.583,0.604,0.606,0.616,0.61,0.614,0.624,0.634,0.614,0.588,
PA,15,Pará,0.501,0.509,0.529,0.527,0.528,0.537,0.531,0.537,0.567,0.527,
PB,25,Paraíba,0.492,0.493,0.512,0.523,0.526,0.531,0.52,0.517,0.543,0.514,
PE,26,Pernambuco,0.5,0.517,0.53,0.533,0.537,0.539,0.553,0.545,0.562,0.53,
PI,22,Piauí,0.484,0.496,0.509,0.514,0.506,0.51,0.513,0.512,0.537,0.509,
PR,41,Paraná,0.624,0.634,0.646,0.644,0.65,0.646,0.654,0.661,0.642,0.628,
RJ,33,Rio de Janeiro,0.607,0.618,0.632,0.638,0.633,0.635,0.643,0.643,0.623,0.592,
RN,24,Rio Grande do Norte,0.53,0.539,0.549,0.561,0.554,0.55,0.554,0.552,0.583,0.537,
RO,11,Rondônia,0.53,0.531,0.541,0.553,0.556,0.571,0.572,0.578,0.598,0.547,
RR,14,Roraima,0.558,0.568,0.576,0.577,0.573,0.573,0.562,0.564,0.568,0.519,
RS,43,Rio Grande do Sul,0.627,0.642,0.647,0.659,0.656,0.659,0.66,0.668,0.651,0.642,
SC,42,Santa Catarina,0.664,0.679,0.687,0.689,0.688,0.694,0.698,0.705,0.685,0.67,
SE,28,Sergipe,0.492,0.5,0.517,0.526,0.504,0.514,0.514,0.514,0.551,0.522,
SP,35,São Paulo,0.661,0.67,0.678,0.678,0.681,0.677,0.683,0.696,0.674,0.654,
TO,17,Tocantins,0.536,0.549,0.565,0.559,0.56,0.572,0.572,0.566,0.589,0.568,
