População de 6 a 14 anos de idade  (Atlas 2013 - PNADC)
Sigla,Código,Estado,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
AC,12,Acre,159815,158007,154279,166348,157801,150371,138550,142823,141524,141898,
AL,27,Alagoas,552396,564918,558445,533776,513598,497024,478851,498995,512203,474644,
AM,13,Amazonas,718386,702278,709275,661750,685385,668781,641420,683278,700976,644324,
AP,16,Amapá,149962,141404,149909,148156,138948,131299,143322,140644,141662,131687,
BA,29,Bahia,2298511,2307396,2215229,2213289,2118125,2105472,2025167,1991648,1957306,1914578,
CE,23,Ceará,1400633,1351351,1339348,1308266,1280998,1239118,1231397,1209826,1160866,1260441,
DF,53,Distrito Federal,389525,380760,368332,373488,378303,377018,380569,372700,366120,373307,
ES,32,Espírito Santo,538844,509873,519691,504029,485833,511982,507566,503748,492153,518920,
GO,52,Goiás,985087,906827,903915,899159,920354,891692,960431,900904,933386,892468,
MA,21,Maranhão,1307256,1257279,1302838,1270805,1208380,1226523,1197817,1183708,1145450,1154831,
MG,31,Minas Gerais,2815217,2730776,2770747,2534387,2536855,2520840,2533339,2542823,2414254,2487699,
MS,50,Mato Grosso do Sul,373693,387757,373630,362656,367516,367232,356633,380570,374971,384464,
MT,51,Mato Grosso,481215,447821,489554,491576,476366,494387,469803,491490,507461,475504,
PA,15,Pará,1489590,1488947,1487991,1471743,1393155,1405497,1428346,1303644,1271858,1308932,
PB,25,Paraíba,593459,611403,597249,590315,566018,538728,555512,543962,559305,548926,
PE,26,Pernambuco,1472136,1389407,1343442,1287704,1273063,1296564,1297210,1232922,1232758,1270590,
PI,22,Piauí,522688,477408,503604,487973,490027,481859,464494,446704,446866,452415,
PR,41,Paraná,1473237,1484260,1445071,1457986,1430231,1417531,1418897,1415702,1407886,1463593,
RJ,33,Rio de Janeiro,2116357,2149168,1973953,1994900,1868141,1839710,1839028,1852580,1846754,1901601,
RN,24,Rio Grande do Norte,506013,492988,505588,482743,478309,458998,492414,484445,487386,472689,
RO,11,Rondônia,278270,270613,261130,273753,260586,249695,241497,240957,237368,248611,
RR,14,Roraima,82889,82020,78291,82689,76385,84050,82469,93764,97589,91733,
RS,43,Rio Grande do Sul,1472574,1362524,1363912,1271943,1286312,1277813,1280119,1215071,1216423,1222759,
SC,42,Santa Catarina,868648,857452,834495,825400,813839,775327,801419,833442,838236,830436,
SE,28,Sergipe,331308,359077,348418,323930,309909,328020,331662,324309,324873,334027,
SP,35,São Paulo,5555922,5420479,5468620,5517836,5556919,5408205,5302248,5343573,5345683,5211047,
TO,17,Tocantins,265929,241805,252136,251555,248429,233835,218442,235330,231557,223369,
