CNAE,TOTAL
"0121101","106"
"0159801","180"
"0159802","993"
"0161002","368"
"0161003","2446"
"0162802","15"
"0321304","41"
"0322104","172"
"0892401","14"
"1013901","553"
"1031700","453"
"1032599","170"
"1033301","137"
"1033302","229"
"1052000","499"
"1061902","4"
"1063500","58"
"1064300","14"
"1065101","38"
"1069400","23"
"1071600","25"
"1091101","5294"
"1091102","21841"
"1092900","520"
"1093701","1376"
"1093702","234"
"1094500","3140"
"1095300","278"
"1096100","4910"
"1099601","14"
"1099604","297"
"1099605","57"
"1099699","64"
"1122403","33"
"1122499","1"
"1220499","10"
"1311100","8"
"1312000","11"
"1321900","12"
"1322700","48"
"1340501","1847"
"1340599","2024"
"1351100","315"
"1352900","147"
"1353700","13"
"1359600","4923"
"1411801","1056"
"1411802","1021"
"1412601","13143"
"1412602","12742"
"1412603","3189"
"1413403","672"
"1414200","95"
"1421500","3"
"1422300","1113"
"1510600","4"
"1521100","683"
"1529700","578"
"1531901","61"
"1531902","217"
"1539400","296"
"1540800","32"
"1622699","2180"
"1623400","72"
"1629301","2687"
"1629302","485"
"1721400","42"
"1731100","171"
"1732000","90"
"1742799","8"
"1749400","3115"
"1811301","1"
"1813001","1742"
"1813099","1838"
"1821100","2766"
"1822901","414"
"2063100","1"
"2219600","481"
"2229399","417"
"2319200","214"
"2330302","1"
"2330399","1168"
"2342702","62"
"2349499","938"
"2391501","50"
"2391503","1028"
"2399101","412"
"2512800","1255"
"2532201","222"
"2539001","3438"
"2539002","65"
"2541100","27"
"2542000","10897"
"2543800","239"
"2599301","1312"
"2599399","555"
"2740602","77"
"2950600","362"
"3101200","10234"
"3102100","56"
"3103900","239"
"3104700","41"
"3211601","55"
"3211602","354"
"3211603","9"
"3212400","6738"
"3220500","105"
"3230200","95"
"3240099","264"
"3250706","1"
"3291400","210"
"3292202","104"
"3299001","12"
"3299002","106"
"3299003","868"
"3299004","310"
"3299005","81"
"3299006","376"
"3299099","14253"
"3311200","287"
"3312103","2"
"3313901","656"
"3313902","26"
"3313999","421"
"3314701","115"
"3314702","677"
"3314706","274"
"3314707","3521"
"3314708","1"
"3314709","60"
"3314710","413"
"3314711","126"
"3314712","38"
"3314719","235"
"3314720","199"
"3314799","195"
"3317102","627"
"3319800","497"
"3321000","2588"
"3329501","4275"
"3600602","234"
"3702900","164"
"3811400","1000"
"3831901","763"
"3831999","580"
"3832700","665"
"3839499","485"
"4120400","4"
"4321500","29979"
"4322301","4294"
"4322302","9966"
"4322303","503"
"4329101","741"
"4329102","164"
"4329103","302"
"4329104","224"
"4329105","326"
"4330402","1524"
"4330403","4551"
"4330404","18035"
"4330405","2944"
"4330499","4030"
"4399103","71280"
"4399105","197"
"4399199","596"
"4520001","16985"
"4520002","7389"
"4520003","2891"
"4520005","6229"
"4520006","2857"
"4520007","4050"
"4520008","660"
"4530703","6082"
"4530704","1378"
"4530705","219"
"4541206","2367"
"4541207","210"
"4543900","2833"
"4617600","1"
"4619200","1"
"4632003","1"
"4651601","1"
"4679699","1"
"4681805","1"
"4685100","2"
"4687702","1"
"4712100","21892"
"4713002","4562"
"4721102","7332"
"4721103","5657"
"4721104","2397"
"4722901","2328"
"4722902","2310"
"4723700","29432"
"4724500","11797"
"4729601","1014"
"4729699","12718"
"4732600","295"
"4741500","361"
"4742300","1205"
"4743100","1420"
"4744001","1570"
"4744002","459"
"4744003","430"
"4744004","1035"
"4744099","12413"
"4751201","7728"
"4751202","263"
"4752100","6407"
"4753900","2482"
"4754701","3073"
"4754702","845"
"4754703","447"
"4755501","614"
"4755502","11881"
"4755503","6422"
"4756300","419"
"4757100","2206"
"4759801","1069"
"4759899","2408"
"4761001","945"
"4761002","1481"
"4761003","2061"
"4762800","373"
"4763601","1997"
"4763602","2307"
"4763603","1733"
"4763604","635"
"4772500","18956"
"4773300","1631"
"4774100","2905"
"4781400","91797"
"4782201","3591"
"4782202","373"
"4783101","3764"
"4783102","790"
"4785701","393"
"4785799","2275"
"4789001","7182"
"4789002","2287"
"4789003","953"
"4789004","10475"
"4789005","4378"
"4789007","802"
"4789008","737"
"4789099","12428"
"4923001","10863"
"4924800","4091"
"4929901","13628"
"4929902","5419"
"4929903","352"
"4930201","37943"
"4930202","7606"
"4930203","74"
"4930204","3416"
"5011401","120"
"5021101","88"
"5091201","160"
"5091202","69"
"5099801","1088"
"5099899","493"
"5211702","95"
"5212500","3132"
"5223100","1288"
"5229002","1768"
"5229099","33701"
"5310502","214"
"5320201","10646"
"5320202","26261"
"5510801","1"
"5590601","293"
"5590602","108"
"5590603","2750"
"5590699","2813"
"5611201","39208"
"5611203","45096"
"5611204","15980"
"5611205","6515"
"5612100","33534"
"5620101","6168"
"5620102","7538"
"5620103","1506"
"5620104","73722"
"5811500","2728"
"5812300","26"
"5812301","1974"
"5812302","1642"
"5813100","1728"
"5819100","9726"
"5829800","1"
"5911101","1"
"5911199","3"
"5912001","480"
"5912099","9057"
"6190601","1"
"6190699","2948"
"6204000","1"
"6209100","2"
"6399200","961"
"6619302","1"
"6622300","1"
"6821801","2"
"6911702","1"
"6920601","4"
"7020400","3"
"7119701","1"
"7311400","1"
"7319002","66015"
"7319003","2"
"7319004","1"
"7319099","982"
"7420001","11547"
"7420002","370"
"7420003","124"
"7420004","2179"
"7490101","1"
"7490102","245"
"7490199","2"
"7719599","108"
"7721700","1536"
"7722500","126"
"7723300","505"
"7729201","236"
"7729202","2836"
"7729203","89"
"7729299","42"
"7731400","147"
"7732201","677"
"7732202","285"
"7733100","166"
"7739002","167"
"7739003","328"
"7739099","669"
"7911200","7359"
"7912100","2551"
"7990200","1379"
"8011102","280"
"8020002","586"
"8129000","2478"
"8130300","8018"
"8211300","5"
"8219901","1032"
"8219999","30158"
"8230001","28538"
"8230002","2818"
"8291100","3221"
"8292000","221"
"8299703","40"
"8299707","1155"
"8299799","1192"
"8591100","1"
"8592902","765"
"8592903","1955"
"8592999","8471"
"8593700","2567"
"8599603","4080"
"8599604","16727"
